image,type,car,coco_ssd_mobilenet_v1_1.0_quant_2018_06_29,lite-model_efficientdet_lite2_detection_metadata_1,lite-model_efficientdet_lite3_detection_metadata_1,lite-model_efficientdet_lite4_detection_metadata_1,ssd_mobilenet,ssd_mobilenet_1,TFLite_model_bbd,
parking-lot-6.jpg,vehicles,1,8,2,2,3,8,8,1,
parking-lot-6.jpg,pedestrians,0,2,0,0,1,2,2,0,
parking-lot-6.jpg,objects,"[{'name': 'car', 'confidence': 0.6133325, 'coord': {}}]","[{'name': 'person', 'confidence': 0.7109375, 'coord': {}}, {'name': 'car', 'confidence': 0.62109375, 'coord': {}}, {'name': 'truck', 'confidence': 0.5859375, 'coord': {}}, {'name': 'truck', 'confidence': 0.5859375, 'coord': {}}, {'name': 'car', 'confidence': 0.57421875, 'coord': {}}, {'name': 'person', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.55078125, 'coord': {}}, {'name': 'car', 'confidence': 0.5234375, 'coord': {}}]","[{'name': 'truck', 'confidence': 0.5625, 'coord': {}}, {'name': 'truck', 'confidence': 0.51953125, 'coord': {}}]","[{'name': 'truck', 'confidence': 0.62109375, 'coord': {}}, {'name': 'truck', 'confidence': 0.58203125, 'coord': {}}]","[{'name': 'truck', 'confidence': 0.55859375, 'coord': {}}, {'name': 'truck', 'confidence': 0.55859375, 'coord': {}}, {'name': 'truck', 'confidence': 0.55859375, 'coord': {}}, {'name': 'person', 'confidence': 0.5390625, 'coord': {}}]","[{'name': 'person', 'confidence': 0.7109375, 'coord': {}}, {'name': 'car', 'confidence': 0.62109375, 'coord': {}}, {'name': 'truck', 'confidence': 0.5859375, 'coord': {}}, {'name': 'truck', 'confidence': 0.5859375, 'coord': {}}, {'name': 'car', 'confidence': 0.57421875, 'coord': {}}, {'name': 'person', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.55078125, 'coord': {}}, {'name': 'car', 'confidence': 0.5234375, 'coord': {}}]","[{'name': 'person', 'confidence': 0.7109375, 'coord': {}}, {'name': 'car', 'confidence': 0.62109375, 'coord': {}}, {'name': 'truck', 'confidence': 0.5859375, 'coord': {}}, {'name': 'truck', 'confidence': 0.5859375, 'coord': {}}, {'name': 'car', 'confidence': 0.57421875, 'coord': {}}, {'name': 'person', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.55078125, 'coord': {}}, {'name': 'car', 'confidence': 0.5234375, 'coord': {}}]","[{'name': 'car', 'confidence': 0.625, 'coord': {}}]",.
,,,,,,,,,,
parking-lot-7.jpg,vehicles,3,2,1,1,1,2,2,2,
parking-lot-7.jpg,pedestrians,0,0,0,0,0,0,0,0,
parking-lot-7.jpg,objects,"[{'name': 'car', 'confidence': 0.9825005, 'coord': {}}, {'name': 'car', 'confidence': 0.90085, 'coord': {}}, {'name': 'car', 'confidence': 0.5206877, 'coord': {}}]","[{'name': 'car', 'confidence': 0.62109375, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.7265625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.8671875, 'coord': {}}]","[{'name': 'car', 'confidence': 0.828125, 'coord': {}}]","[{'name': 'car', 'confidence': 0.62109375, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.62109375, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}]",.
,,,,,,,,,,
parking-lot-8.jpg,vehicles,2,3,2,3,3,3,3,2,
parking-lot-8.jpg,pedestrians,0,0,0,0,0,0,0,0,
parking-lot-8.jpg,objects,"[{'name': 'car', 'confidence': 0.9682143, 'coord': {}}, {'name': 'car', 'confidence': 0.9362005, 'coord': {}}]","[{'name': 'car', 'confidence': 0.65625, 'coord': {}}, {'name': 'car', 'confidence': 0.57421875, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}]","[{'name': 'truck', 'confidence': 0.640625, 'coord': {}}, {'name': 'truck', 'confidence': 0.58203125, 'coord': {}}]","[{'name': 'truck', 'confidence': 0.69140625, 'coord': {}}, {'name': 'car', 'confidence': 0.58203125, 'coord': {}}, {'name': 'truck', 'confidence': 0.51953125, 'coord': {}}]","[{'name': 'car', 'confidence': 0.6875, 'coord': {}}, {'name': 'car', 'confidence': 0.671875, 'coord': {}}, {'name': 'truck', 'confidence': 0.59765625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.65625, 'coord': {}}, {'name': 'car', 'confidence': 0.57421875, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.65625, 'coord': {}}, {'name': 'car', 'confidence': 0.57421875, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.9296875, 'coord': {}}, {'name': 'car', 'confidence': 0.625, 'coord': {}}]",.
,,,,,,,,,,
,errors,,,,,,,,,
